,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,A free copy of Mastering The Interview,Last Notable Activity
4218,Lead add form,Click2call,No,No,1,0.0,0,0.0,Email opened,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4219,Landing page submission,Organic search,No,No,0,7.0,97,7.0,Sms sent,India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
4220,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,No,Modified
4221,Api,Organic search,No,No,1,2.0,1302,1.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4222,Api,Google,No,No,0,3.0,1562,1.0,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Page visited on website
4223,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4224,Landing page submission,Google,No,No,1,3.0,1039,1.5,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,Yes,Sms sent
4225,Landing page submission,Direct traffic,No,No,0,9.0,176,3.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Email opened
4226,Landing page submission,Direct traffic,No,No,0,4.0,590,4.0,Sms sent,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
4227,Landing page submission,Direct traffic,No,No,1,4.0,52,4.0,Email opened,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Email opened
4228,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4229,Api,Google,No,No,0,2.0,533,2.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4230,Lead add form,Click2call,No,No,1,2.0,928,2.0,Page visited on website,No Details,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Page visited on website
4231,Landing page submission,Google,No,No,0,2.0,49,2.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Sms sent
4232,Landing page submission,Direct traffic,No,No,1,3.0,1552,3.0,Email opened,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4233,Api,Olark chat,Yes,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4234,Landing page submission,Google,No,No,0,4.0,111,4.0,Sms sent,India,Media and advertising,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
4235,Api,Google,No,No,0,2.0,305,2.0,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4236,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4237,Api,Google,No,No,0,2.0,66,2.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4238,Landing page submission,Google,No,No,1,3.0,304,3.0,Sms sent,India,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4239,Landing page submission,Direct traffic,No,No,1,10.0,1619,3.33,Page visited on website,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Page visited on website
4240,Landing page submission,Google,No,No,1,5.0,950,5.0,Sms sent,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4241,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4242,Landing page submission,Organic search,Yes,No,1,19.0,1146,2.71,Page visited on website,India,Rural and agribusiness,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Page visited on website
4243,Landing page submission,Organic search,No,No,0,9.0,1063,3.0,Page visited on website,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Page visited on website
4245,Landing page submission,Organic search,No,No,1,8.0,1408,4.0,Email opened,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4246,Landing page submission,Google,No,No,0,5.0,176,1.25,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4247,Landing page submission,Direct traffic,No,No,0,3.0,230,3.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4248,Api,Google,No,No,0,3.0,91,1.5,Converted to lead,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4249,Landing page submission,Google,Yes,No,0,7.0,23,7.0,Page visited on website,India,Retail management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4250,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4251,Api,Google,No,No,0,2.0,346,1.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4252,Api,Direct traffic,No,No,1,12.0,942,12.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
4253,Landing page submission,Google,No,No,1,5.0,1473,5.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4254,Landing page submission,Google,No,No,0,4.0,217,4.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
4255,Landing page submission,Google,No,No,0,7.0,136,3.5,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4256,Landing page submission,Google,No,No,1,4.0,888,4.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4257,Api,Google,No,No,0,5.0,747,2.5,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4258,Landing page submission,Direct traffic,No,No,1,2.0,1282,2.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4259,Landing page submission,Google,No,No,1,6.0,842,6.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4260,Landing page submission,Direct traffic,No,No,0,1.0,2,1.0,Converted to lead,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
4261,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4262,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4263,Api,Google,No,No,1,2.0,1594,1.0,Sms sent,Outside India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4264,Landing page submission,Direct traffic,No,No,1,6.0,1207,6.0,Sms sent,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
4265,Landing page submission,Google,No,No,0,4.0,57,4.0,Email opened,India,Operations management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4266,Api,Organic search,No,No,1,4.0,299,4.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4267,Api,Organic search,No,No,0,9.0,251,4.5,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
4268,Landing page submission,Google,No,No,1,5.0,1351,2.5,Olark chat conversation,India,Human resource management,No Details,No Details,No,No,No,No,No,No,Lost to eins,Yes,Olark chat conversation
4269,Api,Direct traffic,No,No,1,8.0,1011,8.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4270,Landing page submission,Google,No,No,0,6.0,49,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
4271,Landing page submission,Google,No,No,1,3.0,1618,1.5,Email link clicked,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
4272,Landing page submission,Referral sites,No,No,1,5.0,551,2.5,Sms sent,No Details,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4273,Landing page submission,Google,No,No,0,2.0,106,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
4274,Landing page submission,Google,No,No,0,4.0,1058,4.0,Email opened,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4275,Landing page submission,Direct traffic,No,No,1,12.0,179,6.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4276,Api,Organic search,No,No,0,2.0,391,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4277,Api,Google,Yes,No,0,1.0,305,1.0,Email bounced,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
4278,Landing page submission,Direct traffic,No,No,1,2.0,454,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4279,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4280,Landing page submission,Direct traffic,No,No,0,2.0,63,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4281,Landing page submission,Direct traffic,No,No,1,9.0,1242,9.0,Sms sent,India,Supply chain management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4282,Api,Organic search,No,No,0,2.0,375,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
4283,Api,Direct traffic,No,No,0,1.0,1075,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
4284,Landing page submission,Direct traffic,No,No,1,8.0,718,2.0,Sms sent,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Modified
4285,Landing page submission,Direct traffic,No,No,1,3.0,105,3.0,Sms sent,India,It projects management,Working professional,Better career prospects,No,No,No,No,No,No,No Details,Yes,Sms sent
4286,Landing page submission,Direct traffic,No,No,0,1.0,165,1.0,Converted to lead,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,Yes,Modified
4287,Api,Google,No,No,0,3.0,381,3.0,Page visited on website,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
4288,Landing page submission,Direct traffic,No,No,1,10.0,744,2.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4289,Landing page submission,Direct traffic,No,No,0,3.0,14,3.0,Sms sent,Outside India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
4290,Landing page submission,Direct traffic,No,No,0,2.0,331,2.0,Email opened,India,Media and advertising,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
4291,Landing page submission,Google,No,No,1,5.0,1125,5.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4292,Api,Google,No,No,1,2.0,1240,1.0,Form submitted on website,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
4293,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4294,Api,Google,No,No,0,2.0,118,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4295,Api,Google,No,No,1,4.0,1891,4.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4296,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,Rural and agribusiness,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4297,Landing page submission,Direct traffic,No,No,1,2.0,1376,2.0,Sms sent,India,Hospitality management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4298,Landing page submission,Direct traffic,No,No,0,2.0,287,2.0,Form submitted on website,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,No Details,Yes,Form submitted on website
4299,Landing page submission,Organic search,No,No,0,8.0,269,8.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Invalid number,Yes,Email opened
4300,Api,Google,No,No,0,2.0,1271,2.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4301,Api,Olark chat,Yes,No,0,1.0,328,1.0,Unsubscribed,India,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Recognition issue (dec approval),Yes,Unsubscribed
4302,Api,Google,No,No,0,5.0,162,2.5,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
4303,Api,Google,No,No,0,3.0,611,3.0,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
4304,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4305,Landing page submission,Google,No,No,1,6.0,373,6.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Sms sent
4306,Api,Olark chat,Yes,No,0,0.0,0,0.0,Email bounced,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4307,Landing page submission,Organic search,No,No,0,4.0,1098,4.0,Email opened,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4308,Api,Google,No,No,0,2.0,155,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Email opened
4309,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
4310,Api,Olark chat,No,No,0,3.0,172,1.5,Sms sent,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Number not provided,No,Sms sent
4311,Api,Organic search,No,No,0,3.0,268,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4312,Api,Google,No,No,1,3.0,168,1.5,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Modified
4313,Api,Google,No,No,0,2.0,1440,2.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
4314,Api,Google,No,No,0,5.0,610,2.5,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
4315,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
4316,Landing page submission,Direct traffic,No,No,1,9.0,476,3.0,Sms sent,India,E-business,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
4317,Landing page submission,Direct traffic,No,No,1,3.0,128,3.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4318,Landing page submission,Google,No,No,1,5.0,178,5.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4319,Api,Olark chat,No,No,0,0.0,0,0.0,Page visited on website,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Page visited on website
4320,Landing page submission,Google,No,No,1,4.0,1107,2.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4321,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4322,Api,Olark chat,No,No,0,5.0,393,2.5,Email opened,Outside India,Operations management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4323,Landing page submission,Google,No,No,0,6.0,289,3.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
4324,Landing page submission,Direct traffic,No,No,0,2.0,1316,2.0,Email opened,India,It projects management,Student,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Email opened
4325,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email link clicked
4326,Landing page submission,Direct traffic,No,No,0,1.0,234,1.0,Converted to lead,India,Rural and agribusiness,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Modified
4327,Api,Google,No,No,1,4.0,586,2.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4328,Api,Olark chat,No,No,0,4.0,169,1.33,Email opened,India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
4329,Landing page submission,Google,No,No,1,3.0,1367,3.0,Email opened,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4330,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Marketing management,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4331,Landing page submission,Direct traffic,No,No,1,2.0,1311,2.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4332,Landing page submission,Google,No,No,0,6.0,197,3.0,Form submitted on website,India,E-business,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
4333,Landing page submission,Google,No,No,1,5.0,920,5.0,Sms sent,India,International business,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
4334,Landing page submission,Direct traffic,No,No,1,20.0,155,4.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4335,Lead add form,Reference,No,Yes,1,0.0,0,0.0,Olark chat conversation,No Details,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
4336,Landing page submission,Direct traffic,No,No,0,6.0,531,6.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
4337,Landing page submission,Direct traffic,No,No,1,4.0,1333,2.0,Sms sent,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4338,Landing page submission,Organic search,No,No,1,5.0,1042,1.67,Email opened,India,Media and advertising,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4339,Landing page submission,Google,No,No,0,5.0,167,2.5,Sms sent,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4340,Landing page submission,Direct traffic,No,No,0,2.0,29,2.0,Email opened,Outside India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Email opened
4341,Landing page submission,Direct traffic,No,No,1,3.0,399,3.0,Email opened,India,Rural and agribusiness,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4342,Api,Olark chat,No,No,1,0.0,0,0.0,Olark chat conversation,No Details,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
4343,Landing page submission,Google,No,No,0,5.0,120,5.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4344,Landing page submission,Google,No,No,0,7.0,406,7.0,Page visited on website,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Page visited on website
4345,Api,Organic search,No,No,0,4.0,811,4.0,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4346,Landing page submission,Direct traffic,No,No,0,3.0,85,3.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4347,Landing page submission,Direct traffic,No,No,1,2.0,1412,2.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4348,Api,Google,No,No,0,3.0,1259,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
4349,Landing page submission,Organic search,No,No,1,14.0,438,7.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4350,Landing page submission,Google,No,No,0,2.0,246,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4351,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
4352,Landing page submission,Direct traffic,No,No,1,2.0,172,2.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
4353,Landing page submission,Direct traffic,No,No,1,4.0,1246,4.0,Sms sent,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
4354,Landing page submission,Direct traffic,No,No,0,1.0,301,1.0,Converted to lead,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
4355,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4356,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
4357,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4358,Landing page submission,Google,No,No,1,8.0,190,4.0,Sms sent,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Sms sent
4359,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4360,Api,Organic search,No,No,1,5.0,1357,2.5,Email opened,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4361,Api,Organic search,No,No,0,5.0,533,5.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4362,Landing page submission,Google,No,No,0,2.0,232,2.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
4363,Landing page submission,Direct traffic,No,No,0,2.0,31,2.0,Page visited on website,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Page visited on website
4364,Landing page submission,Google,No,No,0,4.0,22,4.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4365,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,Media and advertising,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4366,Landing page submission,Google,No,No,0,5.0,80,5.0,Email opened,India,Business administration,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
4367,Landing page submission,Organic search,No,No,0,2.0,73,2.0,Converted to lead,Outside India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
4368,Api,Google,No,No,0,3.0,396,3.0,Email opened,India,No Details,Student,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
4369,Api,Organic search,No,No,1,4.0,1966,2.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Want to take admission but has financial problems,No,Modified
4370,Landing page submission,Direct traffic,No,No,1,4.0,646,2.0,Email link clicked,India,Finance management,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email link clicked
4371,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4372,Landing page submission,Direct traffic,No,No,0,3.0,166,3.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4373,Landing page submission,Direct traffic,No,No,0,3.0,341,1.5,Olark chat conversation,Outside India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
4374,Landing page submission,Direct traffic,No,No,1,10.0,1669,2.5,Email opened,India,E-commerce,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Email opened
4375,Lead add form,Reference,Yes,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4376,Api,Organic search,No,No,0,2.0,579,1.0,Email opened,India,No Details,Student,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
4377,Landing page submission,Google,No,No,0,5.0,582,5.0,Sms sent,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Sms sent
4378,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4379,Landing page submission,Direct traffic,No,No,1,7.0,1029,7.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4380,Landing page submission,Organic search,No,No,0,9.0,81,4.5,Email opened,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4381,Api,Organic search,No,No,0,2.0,122,2.0,Email opened,Outside India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
4382,Landing page submission,Organic search,No,No,1,13.0,1469,2.17,Sms sent,India,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
4383,Landing page submission,Google,No,No,0,6.0,529,6.0,Page visited on website,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
4384,Landing page submission,Direct traffic,No,No,0,2.0,130,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4385,Landing page submission,Direct traffic,No,No,0,2.0,818,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
4386,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
4387,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
4388,Landing page submission,Direct traffic,No,No,1,4.0,281,4.0,Sms sent,India,E-commerce,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
